Bicep Angle,Squat Angle,Lateral Raise Angle,Label
167.0224550179092,179.60597450229164,167.0224550179092,incorrect
167.41527848167914,179.65914492836575,167.41527848167914,incorrect
167.17803925310469,179.65163635394865,167.17803925310469,incorrect
167.2020635412323,179.77549950086907,167.2020635412323,incorrect
167.54936135542886,179.79733086838505,167.54936135542886,incorrect
167.7869659880956,179.80160419310303,167.7869659880956,incorrect
167.86906823656435,179.78823917753638,167.86906823656435,incorrect
167.88232387302364,179.81062051336565,167.88232387302364,incorrect
167.76435602486671,179.78170109791225,167.76435602486671,incorrect
167.60102901810953,179.79291493271185,167.60102901810953,incorrect
167.19450308105647,179.8304900244387,167.19450308105647,incorrect
166.4977501542469,179.86929165400102,166.4977501542469,incorrect
166.10553355371516,179.85793764918867,166.10553355371516,incorrect
165.78134150309694,179.85655102159762,165.78134150309694,incorrect
165.53029582261456,179.87328995861597,165.53029582261456,incorrect
165.17040059733623,179.87362711791158,165.17040059733623,incorrect
164.67820333900733,179.87567493081391,164.67820333900733,incorrect
164.207407612749,179.84819529420497,164.207407612749,incorrect
164.16230024424175,179.8652274731643,164.16230024424175,incorrect
164.50054930664442,179.93347300840645,164.50054930664442,incorrect
164.66461938723853,179.9705164389973,164.66461938723853,incorrect
164.8505059082705,179.9989081046146,164.8505059082705,incorrect
165.0357042932001,179.9962716895511,165.0357042932001,incorrect
165.8279374133314,179.96840764145043,165.8279374133314,incorrect
166.12089872504947,179.93793574479488,166.12089872504947,incorrect
166.17752514274173,179.9403055057094,166.17752514274173,incorrect
166.16594363389834,179.95401370144486,166.16594363389834,incorrect
166.0073452409918,179.96705665094885,166.0073452409918,incorrect
165.6657847329581,179.95613427728887,165.6657847329581,incorrect
165.4706465234126,179.87363280951698,165.4706465234126,incorrect
165.2420636470314,179.81512082904345,165.2420636470314,incorrect
165.16994525998214,179.78228340110905,165.16994525998214,incorrect
165.23975328082537,179.7870727130184,165.23975328082537,incorrect
165.23474698519118,179.7968922387938,165.23474698519118,incorrect
165.20002540749215,179.81635064198485,165.20002540749215,incorrect
165.15099695439153,179.83092861979807,165.15099695439153,incorrect
165.14628306826708,179.82208746631792,165.14628306826708,incorrect
165.14267565600395,179.8219918608674,165.14267565600395,incorrect
165.11384816354547,179.81590040773625,165.11384816354547,incorrect
165.1068033329919,179.8011104700821,165.1068033329919,incorrect
165.07885427078133,179.8116420679296,165.07885427078133,incorrect
165.04252125948557,179.9076584488001,165.04252125948557,incorrect
164.97078568291093,179.91211221272494,164.97078568291093,incorrect
164.87213086402764,179.90122895460976,164.87213086402764,incorrect
164.88996707292063,179.84474559468038,164.88996707292063,incorrect
164.98270235913975,179.80381973564926,164.98270235913975,incorrect
165.08155025139627,179.80877743092714,165.08155025139627,incorrect
165.3197725279947,179.81755056949848,165.3197725279947,incorrect
165.64112304548766,179.86505441260044,165.64112304548766,incorrect
166.19157517438074,179.8886798148051,166.19157517438074,incorrect
166.4286678964714,179.91626293861896,166.4286678964714,incorrect
166.5943034083261,179.96584424061032,166.5943034083261,incorrect
166.70386337112228,179.889504523133,166.70386337112228,incorrect
166.62473998618606,179.8656140656787,166.62473998618606,incorrect
166.59053365348277,179.85520327446125,166.59053365348277,incorrect
166.60151892574615,179.85249726293713,166.60151892574615,incorrect
166.58442346447592,179.85479439881954,166.58442346447592,incorrect
166.64996461674104,179.92870533387594,166.64996461674104,incorrect
166.6940300898796,179.91078228727338,166.6940300898796,incorrect
166.62642859964436,179.87157620705725,166.62642859964436,incorrect
166.56940960815407,179.77320592123232,166.56940960815407,incorrect
166.59315089639242,179.78120925414544,166.59315089639242,incorrect
166.54344604272984,179.79705839112322,166.54344604272984,incorrect
166.53478311329764,179.8363410473129,166.53478311329764,incorrect
166.4917955105063,179.85085501322874,166.4917955105063,incorrect
166.41188710081443,179.92800296523347,166.41188710081443,incorrect
165.47681393494332,179.94260253295081,165.47681393494332,incorrect
165.12624655794286,179.9698867086894,165.12624655794286,incorrect
164.47427832498607,179.961224329684,164.47427832498607,incorrect
164.0672362441305,179.97083134694995,164.0672362441305,incorrect
163.70348083218823,179.9969590856256,163.70348083218823,incorrect
163.3319480015043,179.99306828884272,163.3319480015043,incorrect
163.0916262708385,179.93959383851984,163.0916262708385,incorrect
163.09741706969692,179.91356800748525,163.09741706969692,incorrect
163.1167832741087,179.92323887983164,163.1167832741087,incorrect
163.0825325787208,179.92524561390718,163.0825325787208,incorrect
163.015087020912,179.94906014268244,163.015087020912,incorrect
162.93326567116426,179.96175166271732,162.93326567116426,incorrect
162.76033907822526,179.98234460940094,162.76033907822526,incorrect
162.59128553510473,179.8996332991035,162.59128553510473,incorrect
162.56651106564317,179.8840396931121,162.56651106564317,incorrect
162.41265207432113,179.8519804888224,162.41265207432113,incorrect
162.33933805295806,179.75530114572953,162.33933805295806,incorrect
162.21871679278618,179.69261973196393,162.21871679278618,incorrect
161.89904230959854,179.69539009370686,161.89904230959854,incorrect
161.83892935836496,179.70382361216707,161.83892935836496,incorrect
161.84962578361805,179.73957231630828,161.84962578361805,incorrect
161.8899508684486,179.78602878579133,161.8899508684486,incorrect
162.34488527615716,179.7915098164187,162.34488527615716,incorrect
162.8261985987408,179.8297938887323,162.8261985987408,incorrect
163.53806844881612,179.8388867981,163.53806844881612,incorrect
163.50588720069706,179.95164831966568,163.50588720069706,incorrect
162.99545515918473,179.879289923767,162.99545515918473,incorrect
162.40624125992372,179.89804924254813,162.40624125992372,incorrect
161.91551607012113,179.88994926379098,161.91551607012113,incorrect
161.75533513753578,179.9646485620859,161.75533513753578,incorrect
161.16158927316621,179.9804852952811,161.16158927316621,incorrect
161.88508427728556,179.9841289272618,161.88508427728556,incorrect
162.1495748254117,179.93872162813355,162.1495748254117,incorrect
163.31075438879006,179.9454139126263,163.31075438879006,incorrect
165.04560229563262,179.65810626323744,165.04560229563262,incorrect
166.69148741025074,179.64154500847624,166.69148741025074,incorrect
165.55848165305355,179.61866406725113,165.55848165305355,incorrect
165.2205675594539,179.57606469993144,165.2205675594539,incorrect
164.89896134789586,179.46072901091358,164.89896134789586,incorrect
164.74546150526177,179.48388982099968,164.74546150526177,incorrect
164.6220082314119,179.52887931988587,164.6220082314119,incorrect
165.28435034766304,179.56848212370397,165.28435034766304,incorrect
